Comment,Designator,Footprint
"Multilayer Ceramic Capacitor","C160","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C161","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C162","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C163","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C164","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C165","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C166","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C167","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C168","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C169","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C170","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C171","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C172","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C173","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C174","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C175","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C176","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C177","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C178","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C179","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C180","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C181","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C182","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C183","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C184","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C185","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C186","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C187","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C188","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C189","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C190","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C191","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C192","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C193","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C194","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C195","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C196","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C197","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C198","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C199","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C200","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C201","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C202","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C203","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C204","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C205","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C206","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C207","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C208","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C209","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C210","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C211","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C212","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C213","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C214","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C215","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C216","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C217","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C218","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C219","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C220","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C221","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C222","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C223","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C226","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C227","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C228","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C229","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C232","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C233","CAPACITOR_0402"
"Multilayer Ceramic Capacitor","C234","CAPACITOR_0402"
"MFF2 SIM Chip","U5","MFF2"
"Memory Card Connectors","J1","Connector - SD Module"
"LDO Voltage Regulator","U3","SOT-23-5"
"I2C Switch IC","U16","TSSOP-16"
"GE910 2G GSM Module","U4","GE910 2G GSM Modem"
"Fixed Inductor","L1","INDUCTOR_0402"
"Fixed Inductor","L2","INDUCTOR_0402"
"Fixed Inductor","L3","INDUCTOR_XFL4015"
"Fixed Inductor","L4","INDUCTOR_XFL4015"
"Ferrite Bead","FB1","INDUCATOR_0603"
"Ferrite Bead","FB2","INDUCATOR_0603"
"EEPROM","U19","SOIC-8"
"Buck-Boost Converter","U21","VSON-10"
"Buck-Boost Converter","U22","VSON-10"
"Bipolar PNP Transistors","Q3","SOT1215"
"Bipolar NPN Transistors","Q1","SOT1215"
"Bipolar NPN Transistors","Q2","SOT1215"
"Bipolar NPN Transistors","Q4","SOT1215"
"Bipolar NPN Transistors","Q5","SOT1215"
"Bipolar NPN Transistors","Q6","SOT1215"
"Bipolar NPN Transistors","Q7","SOT1215"
"Bipolar NPN Transistors","Q8","SOT1215"
"Bipolar NPN Transistors","Q9","SOT1215"
"Bipolar NPN Transistors","Q10","SOT1215"
"Bipolar NPN Transistors","Q11","SOT1215"
"Bipolar NPN Transistors","Q12","SOT1215"
"Bipolar NPN Transistors","Q13","SOT1215"
"Audio Amplifiers","U14","QFN2020-12"
"Antenna","RF1","Connector_IPEX"
"Analog to Digital Converters - ADC","U20","DFN-8"
"Aluminium Organic Polymer Capacitors","C224","CAPACITOR_CAN-B6"
"Aluminium Organic Polymer Capacitors","C225","CAPACITOR_CAN-B6"
"Aluminium Organic Polymer Capacitors","C230","CAPACITOR_CAN-B6"
"Aluminium Organic Polymer Capacitors","C231","CAPACITOR_CAN-B6"
"150066M153000","D1","Wurth_0606"
"150066M153000","D2","Wurth_0606"
"150066M153000","D3","Wurth_0606"
"8-bit MicroController","U11","TQFP32"
"8-bit MicroController","U15","TQFP100"
"7.3728 MHz","X1","ABRACON_CRYSTAL"
"7.3728 MHz","X2","ABRACON_CRYSTAL"
"1.27 mm Pitch 2x30P Male Connector","J2","SAMTEC-FTSH-130-01-X-DV"
"1.27 mm Pitch 2x30P Male Connector","J3","SAMTEC-FTSH-130-01-X-DV"
