x;y;layer1;layer2;voltage1;voltage2;current
3235.31;780.442;MID_LAYER_3;MID_LAYER_4;0.000255938;0.000255686;0.000531634
3235.31;780.442;MID_LAYER_4;BOTTOM_LAYER;0.000255686;0.000255652;0.000422312
3235.31;819.812;TOP_LAYER;MID_LAYER_1;0.000256493;0.000256456;0.000465147
3235.31;819.812;MID_LAYER_1;MID_LAYER_2;0.000256456;0.000256153;0.000639259
3235.31;819.812;MID_LAYER_2;MID_LAYER_3;0.000256153;0.000256092;0.000602465
3235.31;819.812;MID_LAYER_3;MID_LAYER_4;0.000256092;0.000255829;0.000555027
3235.31;819.812;MID_LAYER_4;BOTTOM_LAYER;0.000255829;0.000255792;0.000461664
3235.31;859.182;TOP_LAYER;MID_LAYER_1;0.000256637;0.0002566;0.000463341
3235.31;859.182;MID_LAYER_1;MID_LAYER_2;0.0002566;0.000256275;0.000685865
3235.31;859.182;MID_LAYER_2;MID_LAYER_3;0.000256275;0.00025621;0.000640357
3235.31;859.182;MID_LAYER_3;MID_LAYER_4;0.00025621;0.000255936;0.000577591
3235.31;859.182;MID_LAYER_4;BOTTOM_LAYER;0.000255936;0.000255898;0.000490543
3235.31;898.552;TOP_LAYER;MID_LAYER_1;0.000256729;0.000256689;0.000516219
3235.31;898.552;MID_LAYER_1;MID_LAYER_2;0.000256689;0.000256349;0.00071575
3235.31;898.552;MID_LAYER_2;MID_LAYER_3;0.000256349;0.000256282;0.000669471
3235.31;898.552;MID_LAYER_3;MID_LAYER_4;0.000256282;0.000256004;0.000585744
3235.31;898.552;MID_LAYER_4;BOTTOM_LAYER;0.000256004;0.000255964;0.000504254
3235.31;937.922;TOP_LAYER;MID_LAYER_1;0.000256767;0.000256722;0.00057127
3235.31;937.922;MID_LAYER_1;MID_LAYER_2;0.000256722;0.000256376;0.000728692
3235.31;937.922;MID_LAYER_2;MID_LAYER_3;0.000256376;0.000256307;0.00068312
3235.31;937.922;MID_LAYER_3;MID_LAYER_4;0.000256307;0.000256032;0.000580475
3235.31;937.922;MID_LAYER_4;BOTTOM_LAYER;0.000256032;0.000255992;0.000505938
3235.31;977.292;TOP_LAYER;MID_LAYER_1;0.000256734;0.00025669;0.000554829
3235.31;977.292;MID_LAYER_1;MID_LAYER_2;0.00025669;0.000256355;0.000705857
3235.31;977.292;MID_LAYER_2;MID_LAYER_3;0.000256355;0.000256288;0.000666778
3235.31;977.292;MID_LAYER_3;MID_LAYER_4;0.000256288;0.000256023;0.000559522
3235.31;977.292;MID_LAYER_4;BOTTOM_LAYER;0.000256023;0.000255983;0.000495209
3235.31;1016.66;TOP_LAYER;MID_LAYER_1;0.000256636;0.000256601;0.000451765
3235.31;1016.66;MID_LAYER_1;MID_LAYER_2;0.000256601;0.000256294;0.000646411
3235.31;1016.66;MID_LAYER_2;MID_LAYER_3;0.000256294;0.000256232;0.000619808
3235.31;1016.66;MID_LAYER_3;MID_LAYER_4;0.000256232;0.000255982;0.000526607
3235.31;1016.66;MID_LAYER_4;BOTTOM_LAYER;0.000255982;0.000255944;0.000474677
3235.31;1056.03;TOP_LAYER;MID_LAYER_1;0.000256509;0.000256482;0.000338439
3235.31;1056.03;MID_LAYER_1;MID_LAYER_2;0.000256482;0.000256206;0.000580988
3235.31;1056.03;MID_LAYER_2;MID_LAYER_3;0.000256206;0.00025615;0.000564216
3235.31;1056.03;MID_LAYER_3;MID_LAYER_4;0.00025615;0.000255915;0.000493788
3235.31;1056.03;MID_LAYER_4;BOTTOM_LAYER;0.000255915;0.00025588;0.000451716
3235.31;1095.4;TOP_LAYER;MID_LAYER_1;0.000256378;0.000256357;0.000267058
3235.31;1095.4;MID_LAYER_1;MID_LAYER_2;0.000256357;0.000256104;0.000531447
3235.31;1095.4;MID_LAYER_2;MID_LAYER_3;0.000256104;0.000256053;0.000516531
3235.31;1095.4;MID_LAYER_3;MID_LAYER_4;0.000256053;0.000255829;0.000470058
3235.31;1095.4;MID_LAYER_4;BOTTOM_LAYER;0.000255829;0.000255795;0.000431869
