Description,Designator,Quantity,Case,Mouser_Part_Number,Tolerance,Value,Manufacturer Part Number,Manufacturer_Part_Number
"Thick Film Resistors - SMD 1/16 W 10 Kohms 1%","R53","1","0402","71-CRCW0402-10K-E3","%1","10K","","CRCW040210K0FKED"
"Thick Film Resistors - SMD 1/16 W 10 Kohms 1%","R52","1","0402","71-CRCW0402-10K-E3","%1","10K","","CRCW040210K0FKED"
"Thick Film Resistors - SMD 1/16 W 10 Kohms 1%","R51","1","0402","71-CRCW0402-10K-E3","%1","10K","","CRCW040210K0FKED"
"Thick Film Resistors - SMD 1/16 W 47 Kohms 1%","R50","1","0402","71-CRCW0402-47K-E3","%1","47K","","CRCW040247K0FKED"
"Thick Film Resistors - SMD 1/16 W 47 Kohms 1%","R49","1","0402","71-CRCW0402-47K-E3","%1","47K","","CRCW040247K0FKED"
"Thick Film Resistors - SMD 1/16 W 330 Ohm 1%","R48","1","0402","71-CRCW0402-330-E3","%1","330R","","CRCW0402330RFKED"
"Thick Film Resistors - SMD 1/16 W 330 Ohm 1%","R47","1","0402","71-CRCW0402-330-E3","%1","330R","","CRCW0402330RFKED"
"Thick Film Resistors - SMD 1/16 W 330 Ohm 1%","R46","1","0402","71-CRCW0402-330-E3","%1","330R","","CRCW0402330RFKED"
"Thick Film Resistors - SMD 1/16 W 47 Kohms 1%","R45","1","0402","71-CRCW0402-47K-E3","%1","47K","","CRCW040247K0FKED"
"Thick Film Resistors - SMD 1/16 W 10 Kohms 1%","R44","1","0402","71-CRCW0402-10K-E3","%1","10K","","CRCW040210K0FKED"
"Thick Film Resistors - SMD 1/16 W 47 Kohms 1%","R43","1","0402","71-CRCW0402-47K-E3","%1","47K","","CRCW040247K0FKED"
"Thick Film Resistors - SMD 1/16 W 47 Kohms 1%","R42","1","0402","71-CRCW0402-47K-E3","%1","47K","","CRCW040247K0FKED"
"Thick Film Resistors - SMD 1/16 W 10 Kohms 1%","R41","1","0402","71-CRCW0402-10K-E3","%1","10K","","CRCW040210K0FKED"
"Thick Film Resistors - SMD 1/16 W 10 Kohms 1%","R40","1","0402","71-CRCW0402-10K-E3","%1","10K","","CRCW040210K0FKED"
"Thick Film Resistors - SMD 1/16 W 10 Kohms 1%","R39","1","0402","71-CRCW0402-10K-E3","%1","10K","","CRCW040210K0FKED"
"Thick Film Resistors - SMD 1/16 W 10 Kohms 1%","R38","1","0402","71-CRCW0402-10K-E3","%1","10K","","CRCW040210K0FKED"
"Thick Film Resistors - SMD 1/16 W 47 Kohms 1%","R37","1","0402","71-CRCW0402-47K-E3","%1","47K","","CRCW040247K0FKED"
"Thick Film Resistors - SMD 1/16 W 10 Kohms 1%","R36","1","0402","71-CRCW0402-10K-E3","%1","10K","","CRCW040210K0FKED"
"Thick Film Resistors - SMD 1/16 W 47 Kohms 1%","R35","1","0402","71-CRCW0402-47K-E3","%1","47K","","CRCW040247K0FKED"
"Thick Film Resistors - SMD 1/16 W 330 Ohm 1%","R34","1","0402","71-CRCW0402-330-E3","%1","330R","","CRCW0402330RFKED"
"Thick Film Resistors - SMD 1/16 W 47 Kohms 1%","R33","1","0402","71-CRCW0402-47K-E3","%1","47K","","CRCW040247K0FKED"
"Thick Film Resistors - SMD 1/16 W 330 Ohm 1%","R32","1","0402","71-CRCW0402-330-E3","%1","330R","","CRCW0402330RFKED"
"Thick Film Resistors - SMD 1/16 W 330 Ohm 1%","R31","1","0402","71-CRCW0402-330-E3","%1","330R","","CRCW0402330RFKED"
"Thick Film Resistors - SMD 1/16 W 47 Kohms 1%","R30","1","0402","71-CRCW0402-47K-E3","%1","47K","","CRCW040247K0FKED"
"Thick Film Resistors - SMD 1/16 W 47 Kohms 1%","R29","1","0402","71-CRCW0402-47K-E3","%1","47K","","CRCW040247K0FKED"
"Thick Film Resistors - SMD 1/16 W 249 Kohms 1%","R28","1","0402","71-CRCW0402-249K-E3","%1","249K","","CRCW0402249KFKED"
"Thick Film Resistors - SMD 1/16 W 330 Ohm 1%","R27","1","0402","71-CRCW0402-330-E3","%1","330R","","CRCW0402330RFKED"
"Thick Film Resistors - SMD 1/16 W 47 Kohms 1%","R26","1","0402","71-CRCW0402-47K-E3","%1","47K","","CRCW040247K0FKED"
"Thick Film Resistors - SMD 1/16 W 47 Kohms 1%","R25","1","0402","71-CRCW0402-47K-E3","%1","47K","","CRCW040247K0FKED"
"Thick Film Resistors - SMD 1/16 W 330 Ohm 1%","R24","1","0402","71-CRCW0402-330-E3","%1","330R","","CRCW0402330RFKED"
